Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9808409801351216,0.9808493253376941,0.9808409801351216,0.9807191554037532
KNN,0.9770091761621458,0.9769827602473029,0.9770091761621458,0.9769946932343792
Stacking,0.9728748613491983,0.9728998832123459,0.9728748613491983,0.972886754368332
Voting Classifier,0.9177170515276798,0.9176662753258084,0.9177170515276798,0.9149149040315488
SVM,0.9151961278612484,0.9148261473435989,0.9151961278612484,0.9123870693439
Logistic Regression,0.9144902692346476,0.9142037169924828,0.9144902692346476,0.9115637016375759
KMeans Hybrid,0.8157708984571947,0.8109528550110965,0.8157708984571947,0.7936464155305376
